value,standard_term,abbreviation,case,Reference  
square centimeter,1 square centimeter,cm2,LOWER,https://www.nist.gov/pml/owm/metric-si/si-units-area
square decimeter,1 square decimeter,dm2,LOWER,https://www.nist.gov/pml/owm/metric-si/si-units-area
square dekameter,1 are,dam2,LOWER,https://www.nist.gov/pml/owm/metric-si/si-units-area
square hectometer,1 hectare,ha,LOWER,https://www.nist.gov/pml/owm/metric-si/si-units-area
square kilometer, 1 square kilometer,km2,LOWER,https://www.nist.gov/pml/owm/metric-si/si-units-area
West,west,W,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
East,east,E,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
South,south,S,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
North,north,N,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
North-East,northeast,NE,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
North-West,northwest,NW,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
South-East,southeast,SE,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
South-West,southwest,SW,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
North North West,north-northwest,NNW,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
North North East,north-northeast,NNE,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
South South West,south-southwest,SSW,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
South South East,south-southeast,SSE,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec036.html
Latitude,Latitude,Lat,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec037.html
Longitude,Longitude,Long,,https://www.chicagomanualofstyle.org/16/ch10/ch10_sec037.html
near,,NO ABBREVIATION,SENTANCE CASE,
vicinity,,NO ABBREVIATION,SENTANCE CASE,
nr,near,NO ABBREVIATION,SENTANCE CASE,
nearby,,NO ABBREVIATION,SENTANCE CASE,
about,,NO ABBREVIATION,SENTANCE CASE,
miles,miles,mi.,LOWER,
yards,yards,yd.,LOWER,
feet,feet,ft.,LOWER,
kilometers,kilometers,km,LOWER,
meter/s,meter,m,LOWER,
metre/s,meter,m,LOWER,
fathom/s,fathom,NO ABBREVIATION,LOWER,
centimeter/s,centimeters,cm,LOWER,
millimeter/s,millimeters,mm,LOWER,
ca. ,,NO ABBREVIATION,LOWER,
approx.,approximately,NO ABBREVIATION,SENTANCE CASE,
western,,NO ABBREVIATION,SENTANCE CASE,
northern,,NO ABBREVIATION,SENTANCE CASE,
southern,,NO ABBREVIATION,SENTANCE CASE,
eastern,,NO ABBREVIATION,SENTANCE CASE,
Hwy. ,Highway,NO ABBREVIATION,SENTANCE CASE,
Mt.,Mountain or Mount,NO ABBREVIATION,SENTANCE CASE,
Natl.,National,NO ABBREVIATION,SENTANCE CASE,
For.,Forest,NO ABBREVIATION,SENTANCE CASE,
RR,Railroad,NO ABBREVIATION,SENTANCE CASE,
State,,NO ABBREVIATION,SENTANCE CASE,
Province,,NO ABBREVIATION,SENTANCE CASE,
County,,NO ABBREVIATION,SENTANCE CASW,
Nautical mile,,nm,LOWER,
Knots,,kn,LOWER,

