"Group1_key","estandards_key","irn","RecordType","StandardName","Module","StandardVersion","Status","Term","TermURI","FormatSpecifier","CollapseEmptyValues","RemoveDuplicateValues","NestedSeparator","TermFormatString","Field","DefinedTerm","Expr1017","RowInclusion","FormatSeparator","TypeOfWhere","WhereOperator","Script","WhereCondition"
11,11,406,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:accessURI","http://rs.tdwg.org/ac/terms/accessURI",,"Yes","Yes",,"http://fm-digital-assets.fieldmuseum.org/%s","Multimedia",,,,,"Boolean","AND",,"Equals"
11,11,406,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:accessURI","http://rs.tdwg.org/ac/terms/accessURI",,"Yes","Yes",,"http://fm-digital-assets.fieldmuseum.org/%s","Multimedia",,,,,"Boolean","AND",,"Equals"
12,12,407,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:associatedObservationReference","http://rs.tdwg.org/ac/terms/associatedObservationReference",,"Yes","Yes","|",,"ecatalogue:MulMultiMediaRef_tab.DarGlobalUniqueIdentifier",,,,,,,,"Equals"
12,12,407,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:associatedObservationReference","http://rs.tdwg.org/ac/terms/associatedObservationReference",,"Yes","Yes","|",,"ecatalogue:MulMultiMediaRef_tab.DarGlobalUniqueIdentifier",,,,,,,,"Is Not Null"
13,13,408,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:associatedSpecimenReference","http://rs.tdwg.org/ac/terms/associatedSpecimenReference",,"Yes","Yes",,,"ecatalogue:MulMultiMediaRef_tab.DarGlobalUniqueIdentifier",,,,,,,,"Equals"
13,13,408,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:associatedSpecimenReference","http://rs.tdwg.org/ac/terms/associatedSpecimenReference",,"Yes","Yes",,,"ecatalogue:MulMultiMediaRef_tab.DarGlobalUniqueIdentifier",,,,,,,,"Is Null"
18,18,416,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:derivedFrom","http://rs.tdwg.org/ac/terms/derivedFrom",,"Yes","Yes",,,"RelParentMediaRef.emultimedia.AdmGUIDValue_tab",,,,,,,,"Equals"
19,19,417,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:digitizationDate","http://rs.tdwg.org/ac/terms/digitizationDate",,"Yes","Yes",,,"RelParentMediaRef.emultimedia.DetResourceDetailsDate0",,,,,"Row Select",,,"Equals"
20,20,420,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:fundingAttribution","http://rs.tdwg.org/ac/terms/fundingAttribution",,"Yes","Yes","|",,"DetContributorRef_tab.eparties.SummaryData",,"All Rows","All Rows",,"Row Select","AND",,"Equals"
20,20,420,"Term Definition","Audubon Core","emultimedia","2022-11-08","Active","ac:fundingAttribution","http://rs.tdwg.org/ac/terms/fundingAttribution",,"Yes","Yes","|",,"DetContributorRef_tab.eparties.SummaryData",,"All Rows","All Rows",,"Row Select","AND",,"Equals"
